"participant_id";"entry_no";"top_tracks_isrc";"top_tracks_title";"top_tracks_spotify_id";"top_tracks_artist";"top_tracks_cover";"top_tracks_label";"top_tracks_album_name";"top_tracks_release_date";"top_tracks_album_type";"top_tracks_duration_ms";"top_tracks_popularity";"top_tracks_acousticness";"top_tracks_danceability";"top_tracks_energy";"top_tracks_key";"top_tracks_loudness";"top_tracks_speechiness";"top_tracks_instrumentalness";"top_tracks_liveness";"top_tracks_valence";"top_tracks_tempo";"last_tracks_played_at";"last_tracks_context_type";"last_tracks_context_uri";"top_artists_type";"top_artists_popularity";"top_artists_followers";"top_artists_genres";"top_artists_cover";"top_artists_name";"top_artists_spotify_id"
"20";"1";"USUS12000424";"High Like This";"3Ukb1tpAsQOdUSVKAW94Cj";"Adventure Club,Squired,Dia Frampton";"https://i.scdn.co/image/ab67616d0000b2737e7212e54c2eb80a16fadc5a";"Ultra Records";"High Like This";"2020-07-31";"SINGLE";"192725";"43";"0.0798";"0.473";"0.862";"8";"-4.156";"0.0803";"0.00000387";"0.111";"0.233";"150.031";"";"";"";"artist";"86";"0";"modern rock, pop, rock";"https://i.scdn.co/image/ab6761610000e5eb920dc1f617550de8388f368e";"Imagine Dragons";"53XhwfbYqKCa1cC15pYq2q"
"20";"2";"UKQNV2000195";"Make U Stay";"32Q7B7BsaUBb8D2zT2Vngb";"Sega Bodega,Låpsley";"https://i.scdn.co/image/ab67616d0000b2732f16fa8350de4174960c2f53";"NUXXE";"Make U Stay";"2020-11-05";"SINGLE";"200500";"38";"0.0909";"0.702";"0.722";"4";"-7.971";"0.0417";"0.025";"0.134";"0.315";"145.959";"";"";"";"artist";"59";"0";"downtempo, electronica, indietronica, neo-synthpop, trip hop";"https://i.scdn.co/image/ab6761610000e5eb804f352e162347a18f6401fa";"Röyksopp";"5nPOO9iTcrs9k6yFffPxjH"
"20";"3";"USAT22002202";"Hard To Say Goodbye (feat. Chloe Angelides) - Ship Wrek Remix";"5R0W21CFhLqVw3epCGrdSB";"Ekali,ILLENIUM,Chloe Angelides,Ship Wrek";"https://i.scdn.co/image/ab67616d0000b273cd851e4caa8e4175176e8e33";"Big Beat Records/Atlantic";"Hard To Say Goodbye (feat. Chloe Angelides) [Ship Wrek Remix]";"2020-04-17";"SINGLE";"238064";"29";"0.0382";"0.717";"0.907";"10";"-5.031";"0.039";"0.0721";"0.0538";"0.186";"123.996";"";"";"";"artist";"73";"0";"complextro, edm, german techno, pop, pop dance";"https://i.scdn.co/image/ab6761610000e5eb24b87bfe6e6f3fc93ef9e819";"Zedd";"2qxJFvFYMEDqd7ui6kSAcq"
"20";"4";"GBCEL2000178";"The Blame - Single Edit";"4dffcyDgshaZyEQaMDkOVB";"Bob Moses";"https://i.scdn.co/image/ab67616d0000b273b3cfd09e7d9bd08dbbfc1cf0";"Domino Recording Co";"Desire";"2020-08-28";"ALBUM";"265832";"34";"0.0317";"0.669";"0.831";"11";"-5.359";"0.0366";"0.0325";"0.0912";"0.263";"120.04";"";"";"";"artist";"60";"0";"edm, electropop, indie poptimism";"https://i.scdn.co/image/ab6761610000e5eb014b77216e3469a2d2cfc3ec";"Louis The Child";"7wg1qvie3KqDNQbAkTdbX0"
"20";"5";"USRC12002247";"Someone Else - Malaa Remix";"2pUsewGAEBAx0PXaK01ZoS";"Rezz,Grabbitz,Malaa";"https://i.scdn.co/image/ab67616d0000b273dc2fea706fc6dc89f504e3dd";"Rezz Music/RCA Records";"Someone Else (Malaa Remix)";"2020-07-10";"SINGLE";"205440";"34";"0.123";"0.687";"0.736";"5";"-7.144";"0.0427";"0.0808";"0.354";"0.214";"124.969";"";"";"";"artist";"53";"0";"frauenrap, german hip hop";"https://i.scdn.co/image/ab6761610000e5ebabff0f499883a924349531ca";"Nura";"3gkbRDj7pkIylWVBpRfrQf"
"20";"6";"USUM72014918";"Follow (with Jeremih)";"0id7TrBjYYzQ5v5mHWTUxC";"Kito,ZHU,Jeremih";"https://i.scdn.co/image/ab67616d0000b273465aa8d1a367f4b6475d0938";"Astralwerks";"Follow (with Jeremih)";"2020-08-14";"SINGLE";"205440";"44";"0.00485";"0.68";"0.761";"0";"-6.142";"0.0288";"0.00139";"0.0644";"0.361";"124.981";"";"";"";"artist";"67";"0";"uk dance";"https://i.scdn.co/image/ab6761610000e5eb2d25adbc1590bb250bd3ee6c";"Elderbrook";"2vf4pRsEY6LpL5tKmqWb64"
"20";"7";"GBUM71401448";"How You Love Me";"0A1y3d5O3SDvXaQ8snkmOf";"3LAU,Bright Lights";"https://i.scdn.co/image/ab67616d0000b273527e793a2461e171bfd0818e";"Universal-Island Records Ltd.";"How You Love Me";"2014-01-01";"SINGLE";"210468";"47";"0.183";"0.496";"0.789";"1";"-3.648";"0.0839";"0";"0.34";"0.286";"127.961";"";"";"";"artist";"47";"0";"aussietronica, electro house, electronic trap, future bass, vapor twitch";"https://i.scdn.co/image/ab6761610000e5eba7468b3029f3fa1eb581d082";"Just A Gent";"1kwGj7uDO5WXVXtQLvGJr0"
"20";"8";"USAT22000310";"1 4 Me - S+C+A+R+R Remix";"1m9O1QFF7qZtZQca2O3Jc3";"Electric Guest,S+C+A+R+R";"https://i.scdn.co/image/ab67616d0000b273c93516bad5bca4ba3ece1d40";"Atlantic Records";"1 4 Me (S+C+A+R+R Remix)";"2020-02-14";"SINGLE";"196436";"20";"0.0263";"0.856";"0.556";"9";"-6.487";"0.0548";"0.00172";"0.111";"0.657";"120.061";"";"";"";"artist";"81";"0";"alternative rock, funk metal, funk rock, permanent wave, rock";"https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8";"Red Hot Chili Peppers";"0L8ExT028jH3ddEcZwqJJ5"
"20";"9";"GBKPL2001483";"Fire";"2JvBxZDxItW58uZBheo4lO";"Just A Gent,Caitlyn Scarlett";"https://i.scdn.co/image/ab67616d0000b273883416d64764747a2aa7a511";"Deux Trois";"Fire";"2020-05-29";"SINGLE";"254520";"0";"0.0167";"0.757";"0.665";"8";"-5.95";"0.0387";"0.000388";"0.261";"0.261";"125.041";"";"";"";"artist";"66";"0";"electropop, hyperpop, indie electropop, indie poptimism, rage rap, vapor twitch";"https://i.scdn.co/image/ab6761610000e5eb46a055ed60b32389c6dbd142";"Whethan";"0vqJkZ0RpLZixt3lTmD8vP"
"20";"10";"NLM5S2101161";"Places";"1FxZblJPTjTl7SWSOwdmBk";"Drove,Dillon Francis";"https://i.scdn.co/image/ab67616d0000b273f6a9ec41109ff2a51427e49a";"STMPD RCRDS";"Places";"2021-01-08";"SINGLE";"185585";"38";"0.0126";"0.796";"0.675";"1";"-8.066";"0.0397";"0.181";"0.0779";"0.114";"120.032";"";"";"";"artist";"56";"0";"indie electropop";"https://i.scdn.co/image/ab6761610000e5ebf91887932cd9b3b953d40f14";"LissA";"6aAestjbtEbALwyIYPg8Na"
